周琳晞：把兴趣爱好发挥到极致就是长板,https://mp.weixin.qq.com/s/Wq2UZ8T5xSJs3FIuAtq8pQ,2021-10-29
属于锦城学院的26个字母,https://mp.weixin.qq.com/s/As6MtFJFiv9uxJonxm72jQ,2021-10-28
新生有话说 | 选择锦城的我们一定会前程似锦,http://www.scujcc.edu.cn/info/1076/5925.htm,2021-10-28
拿国奖、赢竞赛、拿华为认证、获“综A”.....他一步步向自己的目标靠近,https://mp.weixin.qq.com/s/zg1VpSBHdi4k_liiGkScww,2021-10-27
第十六届锦城学生通讯社换届大会圆满举行,https://mp.weixin.qq.com/s/JOoDGLEKCk03T6kyUmPR2Q,2021-10-27
我校建筑学院在“2021年第三届四川省大学生乡村振兴创意设计大赛”中取得佳绩,http://www.scujcc.edu.cn/info/1076/5922.htm,2021-10-27
看！锦城的秋天这么美,https://mp.weixin.qq.com/s/j7zap3C8EIjiY-hSTgU0ZQ,2021-10-26
探索新媒体教学新模式 “剪映创作营”进校园,https://mp.weixin.qq.com/s/4AEqEyOJdSZJl5Dq9VZaxg,2021-10-26
诵古今经典 书华夏文明 ——我校组织开展“2021年中华经典诵写讲演”活动,http://www.scujcc.edu.cn/info/1076/5918.htm,2021-10-26
锦城学子的夜宵,https://mp.weixin.qq.com/s/uRabLvoWYoPFV4ux8i5gvA,2021-10-25
喜讯 | 20级播音专业三名同学在金流量比赛中取得优异成绩,https://mp.weixin.qq.com/s/YoCM7DDTDqFRbCpMe_3zVw,2021-10-25
叮咚！！您的“秋日书单”已送达，请签收,https://mp.weixin.qq.com/s/4xe5UlEGhXbyMUw_GBRiWw,2021-10-24
文传学院新风青协开展重阳节敬老活动,http://www.scujcc.edu.cn/info/1076/5894.htm,2021-10-24
今天，纪念伟大胜利！,https://mp.weixin.qq.com/s/owcBpZ3dEg1ULilOvhxdsg,2021-10-22
首届巴蜀文化与南方丝绸之路学术研讨会在成都召开 ——我校谢天开教授和毛欣然副教授受邀出席会议并作论文宣讲,http://www.scujcc.edu.cn/info/1076/5893.htm,2021-10-22
秋天，我和农场有个约会,https://mp.weixin.qq.com/s/D5fdDqa_ZhB5nycSnOIuEA,2021-10-21
